38 Provinsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Produksi Tanaman Buah-buahan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alpukat (Ton),,Belimbing (Ton),,Duku/Langsat/Kokosan (Ton),,Durian (Ton),,Jambu Biji (Ton),,Jambu Air (Ton),,Jeruk Siam/Keprok (Ton),,Jeruk Besar (Ton),,Mangga (Ton),,Manggis (Ton),,Nangka/Cempedak (Ton),,Nenas (Ton),,Pepaya (Ton),,Pisang (Ton),,Rambutan (Ton),,Salak (Ton),,Sawo (Ton),,Markisa/Konyal (Ton),,Sirsak (Ton),,Sukun (Ton),,Melon (Ton),,Semangka (Ton),,Blewah (Ton),,Apel (Ton),,Anggur (Ton),,Stroberi (Ton),
,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022
NUSA TENGGARA BARAT,8889,5145,724,566,1090,309,40084,32108,20629,15168,3160,2941,5454,8935,829,634,131394,163485,24850,16778,55821,64486,83463,135162,22918,17195,118234,125590,25074,12911,105,66,13128,14151,-,-,49039,26701,810,505,2668,1689,21866,7601,-,-,18,-,852,384,43,245
NUSA TENGGARA TIMUR,34638,22382,664,718,15,7,3714,4430,15167,10899,1696,2597,56817,46474,1846,1675,87304,81997,18,54,26673,26890,11241,11541,103647,109094,256741,230535,7889,6172,2472,3155,1040,1488,-,-,4552,4177,3086,4793,444,356,2022,1837,-,-,36,64,7,17,162,80
KALIMANTAN BARAT,1667,2194,1355,1188,8677,7422,37188,22906,3343,6751,3327,3218,72557,118987,371,312,10768,8058,8542,7303,12819,8610,119471,87868,14265,16778,140634,134097,18511,12111,1900,1869,5880,3890,-,-,2256,1733,2526,2237,567,372,4532,5862,-,-,-,-,-,29,-,-
KALIMANTAN TENGAH,895,773,1627,997,882,398,8239,4479,4589,3774,3223,2355,9463,5735,183,166,2690,2400,602,280,15520,9308,15313,10342,6658,5560,44578,41303,14924,9227,1312,782,1915,1228,-,-,1283,776,2333,935,762,375,14833,11345,-,-,-,-,-,25,312,-
KALIMANTAN SELATAN,58,33,764,583,7285,1473,28825,8136,2246,1829,994,887,113194,115360,376,261,7298,4492,1440,433,28859,13930,14307,15620,8493,5028,65485,74123,17915,11459,1416,479,1550,1340,-,-,1264,1668,3639,1872,1148,870,18830,3526,-,-,-,-,-,-,-,-
KALIMANTAN TIMUR,674,638,948,1267,3605,3998,13440,8773,2140,1466,1360,1229,11301,7755,292,205,5133,3010,131,342,32819,8364,55171,36641,24068,13674,130656,127562,11329,10703,7508,6841,1809,1352,-,-,1046,829,1897,1028,468,470,4047,3665,-,-,-,-,-,-,-,-
KALIMANTAN UTARA,85,57,285,168,6001,3317,8436,5181,416,392,754,539,7046,4561,98,12,8614,6366,103,101,21788,23332,859,1018,34593,23203,110526,89565,13789,5129,5664,4273,104,68,-,-,595,361,651,613,440,920,1456,2496,-,-,-,-,1,1,-,-
SULAWESI UTARA,8697,5911,636,432,3958,3130,18327,13592,4235,3288,1478,969,1172,742,52,27,23199,13071,3200,2099,7132,3013,2101,4855,22324,17378,100298,81126,16551,5609,3064,2674,-,-,-,-,2951,1260,1103,370,753,940,743,1176,-,-,-,-,-,2,-,-
SULAWESI TENGAH,10478,5282,317,247,4796,5930,41273,56326,776,931,894,1592,2235,2797,66,156,12802,14430,1826,2278,4628,5537,1164,13260,7307,7137,27378,20845,9872,11036,787,785,261,117,-,-,398,552,470,398,1296,1599,3798,4058,-,-,-,-,40,65,1,1
SULAWESI SELATAN,8972,8233,598,367,12789,16274,34070,59759,11139,15877,2194,2027,9315,11569,41330,29372,116175,104092,3330,3065,26499,21888,2132,2435,25571,29526,161550,177727,28493,39422,10856,11981,500,555,-,-,2138,1881,15074,13693,468,981,6335,6247,-,-,-,-,1,6,66,14
