Provinsi,Kabupaten/Kota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Buah-Buahan Per Kabupaten/kota (Satuan Komoditas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BUAH-BUAHAN,,,"Jeruk, jeruk bali",,,Mangga,,,Apel,,,Rambutan,,,"Duku, langsat",,,Durian,,,Salak,,,Pisang ambon,,,Pisang lainnya,,,Pepaya,,,Semangka,,,Tomat buah,,,Alpokat,,,Jambu biji,,,Buah-buahan lainnya,,
,,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023
Aceh,Gayo Lues,-,-,-,0.162,0.121,0.102,0.016,0.026,0.014,0.039,0.02,0.01,0.027,0.015,0.022,0.014,0.015,0.061,-,0.003,0.105,0.124,0.108,0.099,0.016,0.024,0.023,0.129,0.103,0.108,0.055,0.069,0.079,0.058,0.075,0.057,0.019,0.012,0.012,-,0.028,0.041,-,0.017,0.02,0.033,0.015,0.005
Aceh,Aceh Tamiang,-,-,-,0.146,0.162,0.141,0.005,0.006,0.006,0.012,0.008,0.019,-,-,-,0.003,0.009,0.051,0.001,0.001,0.003,0.04,0.067,0.064,0.002,0.001,0.004,0.047,0.039,0.045,0.016,0.021,0.023,0.084,0.079,0.031,0.063,0.088,0.058,-,0.004,0.006,-,0.001,0.006,0.035,0.026,0.021
Aceh,Nagan Raya,-,-,-,0.162,0.18,0.202,0.014,0.01,0.036,0.016,0.011,0.029,0.01,0.008,0.02,0.018,0.034,0.108,-,0.003,0.016,0.116,0.151,0.176,0.006,0.011,0.013,0.046,0.057,0.1,0.053,0.087,0.131,0.112,0.132,0.202,0.097,0.085,0.122,-,0.018,0.03,-,0.007,0.011,0.016,0.017,0.042
Aceh,Aceh Jaya,-,-,-,0.123,0.099,0.091,0.013,0.021,0.006,0.019,0.014,0.007,0.006,0.01,0.003,0.003,0.007,0.016,-,0.006,-,0.113,0.12,0.094,0.02,0.01,0.007,0.073,0.068,0.092,0.085,0.069,0.067,0.12,0.142,0.091,0.107,0.105,0.114,-,0.009,0.008,-,0.005,0.003,0.055,0.031,0.041
Aceh,Bener Meriah,-,-,-,0.102,0.102,0.13,0.025,0.035,0.029,0.022,0.014,0.022,0.021,0.012,0.016,0.005,0.018,0.056,0.092,0.294,0.274,0.068,0.082,0.092,0.015,0.042,0.039,0.042,0.065,0.056,0.025,0.037,0.043,0.062,0.059,0.062,0.127,0.083,0.166,-,0.054,0.052,-,0.014,0.025,0.031,0.016,0.027
Aceh,Pidie Jaya,-,-,-,0.154,0.17,0.144,0.019,0.025,0.002,0.027,0.004,0.011,0.026,0.007,0.006,0.014,0.005,0.02,0.003,0.018,0.004,0.089,0.104,0.114,0.008,0.018,0.013,0.059,0.066,0.034,0.041,0.082,0.051,0.02,0.045,0.041,-,-,0.001,-,0.008,0.031,-,0.008,0.005,0.013,0.019,0.016
Aceh,Kota Banda Aceh,-,-,-,0.126,0.122,0.13,0.046,0.051,0.017,0.026,0.032,0.017,-,0.001,0.001,-,0.006,0.004,0.004,0.018,0.006,0.043,0.051,0.056,0.006,0.004,-,0.105,0.095,0.088,0.083,0.093,0.048,0.085,0.118,0.104,0.045,0.051,0.057,-,0.018,0.016,-,0.008,0.012,0.087,0.038,0.056
Aceh,Kota Sabang,-,-,-,0.108,0.127,0.115,0.04,0.052,0.036,0.019,0.018,0.029,0.005,0.001,-,0.002,0.006,0.005,-,0.024,-,0.03,0.045,0.046,0.007,0.012,0.002,0.118,0.098,0.104,0.081,0.091,0.089,0.06,0.053,0.025,-,0.005,0.003,-,0.013,0.009,-,0.008,0.003,0.034,0.035,0.048
Aceh,Kota Langsa,-,-,-,0.117,0.138,0.154,0.01,0.01,0.015,0.02,0.015,0.018,0.003,-,0.004,0.004,0.002,0.035,0.001,0.012,0.02,0.049,0.042,0.047,0.005,0.003,0.003,0.093,0.089,0.049,0.049,0.032,0.022,0.125,0.07,0.073,0.091,0.068,0.045,-,0.012,0.014,-,0.01,0.004,0.08,0.043,0.036
Aceh,Kota Lhokseumawe,-,-,-,0.131,0.102,0.107,0.028,0.026,0.019,0.026,0.017,0.023,0.002,0.001,-,0.002,0.002,0.016,0.003,0.006,0.016,0.082,0.06,0.088,0.003,0.003,0.001,0.072,0.068,0.05,0.048,0.066,0.053,0.086,0.084,0.063,0.092,0.028,0.054,-,0.01,0.017,-,0.008,0.009,0.043,0.029,0.024
Aceh,Kota Subulussalam,-,-,-,0.213,0.207,0.245,0.013,0.009,0.001,0.021,0.019,0.012,-,0.002,0.002,0.005,0.019,0.081,-,0.007,0.012,0.099,0.158,0.097,0.008,0.01,0.016,0.026,0.042,0.059,0.021,0.061,0.031,0.07,0.174,0.079,0.131,0.125,0.113,-,0.022,0.011,-,0.009,0.008,0.016,0.033,0.028
