Province,Year,Avocado,Star Fruit,Duku,Durian,Guava,Rose Apple,Orange/Tangerine,Pomelo,Mango,Mangosteen,Jackfruit,Pineapple,Papaya,Banana,Rambutan,Salacca,Sapodilla/Star Apple,Soursop,Breadfruit,Melon,Watermelon,Apple,Grape,Strawberry
Sulawesi Tengah,2021,10478.0,317.0,4796.0,41273.0,776.0,894.0,2235.0,66.0,12802.0,1826.0,4628.0,1164.0,7307.0,27378.0,9872.0,787.0,261.0,398.0,470.0,1296.0,3798.0,,40.0,1.0
Sulawesi Selatan,2021,8972.0,598.0,12789.0,34070.0,11139.0,2194.0,9315.0,41330.0,116175.0,3330.0,26499.0,2132.0,25571.0,161550.0,28493.0,10856.0,500.0,2138.0,15074.0,468.0,6335.0,,1.0,66.0
Sulawesi Tenggara,2021,1093.0,330.0,1624.0,12886.0,1398.0,1423.0,22220.0,408.0,12405.0,789.0,6238.0,9073.0,10503.0,41610.0,8300.0,1050.0,302.0,968.0,1867.0,324.0,1190.0,,17.0,13.0
Gorontalo,2021,24.0,12.0,54.0,4381.0,19.0,,23305.0,119.0,1900.0,,942.0,92.0,1209.0,6938.0,1828.0,9.0,,4.0,8.0,89.0,136.0,,,
Sulawesi Barat,2021,312.0,100.0,4223.0,14653.0,415.0,325.0,18933.0,99.0,10548.0,1685.0,3000.0,430.0,5210.0,77487.0,4382.0,84.0,67.0,143.0,793.0,2.0,164.0,,,
Maluku,2021,2143.0,556.0,1675.0,8091.0,1188.0,1123.0,12029.0,343.0,7542.0,923.0,5092.0,458.0,11076.0,55382.0,1091.0,3691.0,18.0,832.0,2690.0,308.0,797.0,,,
Maluku Utara,2021,1061.0,247.0,1882.0,4686.0,627.0,650.0,2258.0,66.0,6457.0,1284.0,2535.0,700.0,2995.0,22810.0,5353.0,3743.0,4.0,357.0,987.0,175.0,452.0,,1.0,
Papua Barat,2021,575.0,273.0,1565.0,1425.0,979.0,383.0,460.0,135.0,1276.0,13.0,811.0,302.0,1901.0,113979.0,2319.0,966.0,132.0,303.0,475.0,118.0,389.0,,,
Papua,2021,908.0,295.0,253.0,491.0,697.0,511.0,32035.0,77.0,7444.0,11.0,1618.0,149.0,5355.0,15167.0,537.0,129.0,68.0,231.0,447.0,1850.0,4664.0,,1.0,
Aceh,2022,85794.0,1979.0,10087.0,56662.0,8508.0,5423.0,25926.0,8063.0,34516.0,3149.0,15106.0,21437.0,41048.0,107195.0,40173.0,1120.0,4245.0,1193.0,1542.0,559.0,5120.0,81.0,,20.0
Sumatera Utara,2022,50511.0,7235.0,17714.0,119371.0,14229.0,16329.0,398064.0,311.0,48868.0,25972.0,16178.0,165080.0,35241.0,164533.0,26416.0,265180.0,23890.0,4674.0,3612.0,2113.0,29418.0,,3.0,110.0
Sumatera Barat,2022,112723.0,888.0,8183.0,219638.0,6955.0,7517.0,117494.0,374.0,20392.0,95014.0,13266.0,560.0,36685.0,158698.0,35291.0,1361.0,13428.0,11232.0,3315.0,849.0,11912.0,29.0,3.0,99.0
Riau,2022,1686.0,2442.0,3970.0,30039.0,11987.0,8874.0,47437.0,653.0,15241.0,11282.0,18467.0,261769.0,24403.0,55207.0,26866.0,4828.0,3932.0,1336.0,2303.0,1255.0,17539.0,,49.0,
Jambi,2022,12885.0,974.0,12368.0,22183.0,4386.0,4082.0,88886.0,160.0,6034.0,15648.0,14128.0,119862.0,13708.0,45555.0,6132.0,5030.0,3851.0,2188.0,3208.0,867.0,5849.0,,10.0,12.0
Sumatera Selatan,2022,53149.0,1452.0,17573.0,40615.0,5532.0,14367.0,44468.0,57.0,18373.0,1702.0,12576.0,567120.0,19409.0,334145.0,11682.0,2385.0,6000.0,1426.0,2870.0,1928.0,16947.0,,10.0,169.0
Bengkulu,2022,8993.0,394.0,1323.0,27969.0,2530.0,1160.0,30239.0,4.0,10093.0,8239.0,5593.0,381.0,12912.0,91550.0,8840.0,6819.0,1653.0,494.0,697.0,402.0,809.0,48.0,31.0,74.0
Lampung,2022,22420.0,2995.0,10410.0,27590.0,18830.0,16080.0,72777.0,417.0,15620.0,3483.0,53373.0,861706.0,39226.0,1223009.0,22899.0,9790.0,11820.0,2506.0,6117.0,822.0,19442.0,,73.0,
Kep. Bangka Belitung,2022,1742.0,94.0,472.0,2269.0,490.0,1353.0,1101.0,13.0,1864.0,389.0,2318.0,5253.0,2875.0,4627.0,1090.0,1289.0,498.0,92.0,493.0,251.0,3605.0,,,
Kep. Riau,2022,157.0,54.0,152.0,5298.0,505.0,136.0,64.0,10.0,923.0,117.0,1094.0,4547.0,954.0,3049.0,2227.0,13824.0,105.0,149.0,149.0,61.0,963.0,,,
DKI Jakarta,2022,234.0,2779.0,7.0,340.0,2901.0,1252.0,103.0,9.0,5269.0,,558.0,,988.0,2962.0,2280.0,14.0,252.0,69.0,952.0,5.0,,,10.0,
