,Mango Production,Apple Production,Rambutan Production,Durian Production,Papaya Production,Watermelon Production,Avocado Production,Guava Production,Banana,Duku,Orange/Tangerine,Pomelo,"Orange, pomelo",Mango Consumption,Apple Consumption,Rambutan Consumption,"Duku, langsat",Durian Consumption,Ambon banana,Papaya Consumption,Watermelon Consumption,Avocado Consumption,Guava Consumption
Mango Production,1.0,0.9340203036638499,0.7898691272720261,0.8141946182119254,0.9119318168105291,0.9122141291924383,0.8610827941775853,0.8357020757612669,0.8607569368607496,0.17096921865153725,0.7432338399051996,0.6235464977601461,-0.021440177653045477,-0.24949203324449704,0.22147333080107093,0.5855519441515615,0.09131803351092548,-0.02149386317404123,0.17766595130110038,0.264734472156824,-0.16070925267626798,,
Apple Production,0.9340203036638499,1.0,0.6478418351747173,0.762540316429346,0.8423106728843872,0.9275462759756804,0.8231671152181798,0.49862419523624557,0.9386915746099393,0.03220191716983218,0.9603014706395553,0.8104732416406243,-0.2958745001089064,-0.3310489213221512,0.07711369041344036,0.3639425124933037,-0.14439733469889782,0.1643100433010618,0.08399272675987156,0.42596145008667907,0.10735792300369239,,
Rambutan Production,0.7898691272720261,0.6478418351747173,1.0,0.728168823228621,0.7960855075185412,0.6171771769229148,0.849742112477024,0.9066466132193458,0.831769378425367,0.2149726914650649,0.43827355975872556,0.47911631058666404,0.224094638234075,-0.3128291378416024,0.25835235212319185,0.5854619919027764,0.20022994681216189,-0.13275692976358822,0.29277802501586564,0.260785051899154,-0.13659495194576107,,
Durian Production,0.8141946182119254,0.762540316429346,0.728168823228621,1.0,0.8020365391541994,0.8630767099972161,0.8963249877824011,0.7599614043933747,0.6854366828756246,0.3363352804392892,0.767987888904523,0.5160597422173313,0.21518410705005545,-0.2952338477733162,0.1165257493877208,0.3865347572928827,0.07111534304882809,0.03326290786951568,0.07552608868339958,0.3165763539309061,-0.04758982555220991,,
Papaya Production,0.9119318168105291,0.8423106728843872,0.7960855075185412,0.8020365391541994,1.0,0.8394992883661558,0.8991154497571645,0.8587658363037607,0.900074857307926,0.2355313570602232,0.688007525790972,0.5434086232259079,0.02741651044903223,-0.3307535011221522,0.10964816126221655,0.4623082924598017,0.19665073797458715,-0.09607336781888004,0.1647390658069453,0.21126780828731806,-0.18057395060640521,,
Watermelon Production,0.9122141291924383,0.9275462759756804,0.6171771769229148,0.8630767099972161,0.8394992883661558,1.0,0.7719580522297727,0.7360173253070907,0.7292360495123926,0.2518580531104331,0.8245486114689197,0.5608830239690574,0.06427017807703159,-0.29390489019690996,0.2402249558503741,0.45883963558854324,0.09096915149241519,-0.025188814678364542,0.06886870313055582,0.29231385069149024,-0.035545219475480505,,
Avocado Production,0.8610827941775853,0.8231671152181798,0.849742112477024,0.8963249877824011,0.8991154497571645,0.7719580522297727,1.0,0.8162188137169037,0.8418567177205138,0.23552470951863147,0.6617537041084576,0.4949256958026897,0.20120153995584067,-0.30208845779606,0.1006919190530194,0.4374458435518478,0.15951362571172226,-0.039365739091116285,0.24087808673802932,0.3437551654216519,-0.11506752468213002,,
Guava Production,0.8357020757612669,0.49862419523624557,0.9066466132193458,0.7599614043933747,0.8587658363037607,0.7360173253070907,0.8162188137169037,1.0,0.7792337154566192,0.21505961784687908,0.44459899572478834,0.5427041700822633,0.09650160485567472,-0.312846256901795,0.20695115294472322,0.5606892790643713,0.21031708568484028,-0.12622720528164205,0.256227741257239,0.20630022002858403,-0.1952589337247957,,
Banana,0.8607569368607496,0.9386915746099393,0.831769378425367,0.6854366828756246,0.900074857307926,0.7292360495123926,0.8418567177205138,0.7792337154566192,1.0,0.2393158450463501,0.6160057996076393,0.4538514292863861,0.08994089694262045,-0.30571072411380085,0.1872781327052084,0.5598775307821631,0.28305082271833193,-0.16704032035738656,0.307467332607464,0.26442402227400735,-0.23425174925999817,,
Duku,0.17096921865153725,0.03220191716983218,0.2149726914650649,0.3363352804392892,0.2355313570602232,0.2518580531104331,0.23552470951863147,0.21505961784687908,0.2393158450463501,1.0,0.2804319956546999,0.17054296758902088,0.21403259998766316,-0.21660351619889545,-0.11709559511377182,0.07007410435520499,0.6185888533894283,-0.06054413065840826,-0.07446549663508623,0.045941709704242495,0.07794449627392074,,
