,Mango Production,Apple Production,Rambutan Production,Durian Production,Papaya Production,Watermelon Production,Avocado Production,Guava Production,Banana,Duku,Orange/Tangerine,Pomelo,"Orange, pomelo",Mango Consumption,Apple Consumption,Rambutan Consumption,"Duku, langsat",Durian Consumption,Ambon banana,Papaya Consumption,Watermelon Consumption,Avocado Consumption,Guava Consumption
Orange/Tangerine,0.7432338399051996,0.9603014706395553,0.43827355975872556,0.767987888904523,0.688007525790972,0.8245486114689197,0.6617537041084576,0.44459899572478834,0.6160057996076393,0.2804319956546999,1.0,0.38335069892716117,0.11189674972687509,-0.2564948070409629,0.14336182065509506,0.32331233782207247,-0.06964575623395344,0.007188683640428456,-0.0678122959342494,0.15933122663142418,-0.010101693210426109,,
Pomelo,0.6235464977601461,0.8104732416406243,0.47911631058666404,0.5160597422173313,0.5434086232259079,0.5608830239690574,0.4949256958026897,0.5427041700822633,0.4538514292863861,0.17054296758902088,0.38335069892716117,1.0,-0.1091107714320375,-0.2289438698590471,0.09323395025651449,0.5563355414097689,0.008411696039944693,0.34548684231630106,0.013348155914003472,-0.005037809970682128,-0.19634623283536373,,
"Orange, pomelo",-0.021440177653045477,-0.2958745001089064,0.224094638234075,0.21518410705005545,0.02741651044903223,0.06427017807703159,0.20120153995584067,0.09650160485567472,0.08994089694262045,0.21403259998766316,0.11189674972687509,-0.1091107714320375,1.0,-0.4641829613700846,0.2927200258829719,0.05667722247871434,0.3867446560097405,-0.28194968050601,0.3260412162971495,0.3277994407893832,0.25868839875557437,,
Mango Consumption,-0.24949203324449704,-0.3310489213221512,-0.3128291378416024,-0.2952338477733162,-0.3307535011221522,-0.29390489019690996,-0.30208845779606,-0.312846256901795,-0.30571072411380085,-0.21660351619889545,-0.2564948070409629,-0.2289438698590471,-0.4641829613700846,1.0,-0.23253326509268055,-0.38521843273048356,-0.30453640213192634,0.25450191738285816,-0.28059437724543623,0.009850191785073978,0.03061983496793096,,
Apple Consumption,0.22147333080107093,0.07711369041344036,0.25835235212319185,0.1165257493877208,0.10964816126221655,0.2402249558503741,0.1006919190530194,0.20695115294472322,0.1872781327052084,-0.11709559511377182,0.14336182065509506,0.09323395025651449,0.2927200258829719,-0.23253326509268055,1.0,0.6352977491439262,-0.0015725283721940218,-0.08117195368922918,0.192331271915846,0.3560422501419947,0.049272788087796955,,
Rambutan Consumption,0.5855519441515615,0.3639425124933037,0.5854619919027764,0.3865347572928827,0.4623082924598017,0.45883963558854324,0.4374458435518478,0.5606892790643713,0.5598775307821631,0.07007410435520499,0.32331233782207247,0.5563355414097689,0.05667722247871434,-0.38521843273048356,0.6352977491439262,1.0,0.1212764191061036,0.15400593917571545,0.2976723298713212,0.24982042527177564,-0.4132175062426888,,
"Duku, langsat",0.09131803351092548,-0.14439733469889782,0.20022994681216189,0.07111534304882809,0.19665073797458715,0.09096915149241519,0.15951362571172226,0.21031708568484028,0.28305082271833193,0.6185888533894283,-0.06964575623395344,0.008411696039944693,0.3867446560097405,-0.30453640213192634,-0.0015725283721940218,0.1212764191061036,1.0,-0.2730221832472803,0.5567732964617444,0.4071336503271259,-0.21317334989600462,,
Durian Consumption,-0.02149386317404123,0.1643100433010618,-0.13275692976358822,0.03326290786951568,-0.09607336781888004,-0.025188814678364542,-0.039365739091116285,-0.12622720528164205,-0.16704032035738656,-0.06054413065840826,0.007188683640428456,0.34548684231630106,-0.28194968050601,0.25450191738285816,-0.08117195368922918,0.15400593917571545,-0.2730221832472803,1.0,-0.14635097942145536,-0.08270520470183673,-0.11502902555036576,,
Ambon banana,0.17766595130110038,0.08399272675987156,0.29277802501586564,0.07552608868339958,0.1647390658069453,0.06886870313055582,0.24087808673802932,0.256227741257239,0.307467332607464,-0.07446549663508623,-0.0678122959342494,0.013348155914003472,0.3260412162971495,-0.28059437724543623,0.192331271915846,0.2976723298713212,0.5567732964617444,-0.14635097942145536,1.0,0.5622702536008182,-0.2974073115929019,,
Papaya Consumption,0.264734472156824,0.42596145008667907,0.260785051899154,0.3165763539309061,0.21126780828731806,0.29231385069149024,0.3437551654216519,0.20630022002858403,0.26442402227400735,0.045941709704242495,0.15933122663142418,-0.005037809970682128,0.3277994407893832,0.009850191785073978,0.3560422501419947,0.24982042527177564,0.4071336503271259,-0.08270520470183673,0.5622702536008182,1.0,-0.20000388200532496,,
Watermelon Consumption,-0.16070925267626798,0.10735792300369239,-0.13659495194576107,-0.04758982555220991,-0.18057395060640521,-0.035545219475480505,-0.11506752468213002,-0.1952589337247957,-0.23425174925999817,0.07794449627392074,-0.010101693210426109,-0.19634623283536373,0.25868839875557437,0.03061983496793096,0.049272788087796955,-0.4132175062426888,-0.21317334989600462,-0.11502902555036576,-0.2974073115929019,-0.20000388200532496,1.0,,
Avocado Consumption,,,,,,,,,,,,,,,,,,,,,,,
Guava Consumption,,,,,,,,,,,,,,,,,,,,,,,
